1275
-common_pairs-
vid1 #-# vid2 #-# minhash_sim
1811 #-# 458 #-# -1
1811 #-# 1810 #-# -1
1811 #-# 1983 #-# -1
1813 #-# 1564 #-# -1
1813 #-# 1453 #-# -1
1813 #-# 1566 #-# -1
1813 #-# 456 #-# -1
643 #-# 1564 #-# -1
643 #-# 1453 #-# -1
643 #-# 1566 #-# -1
643 #-# 1809 #-# -1
643 #-# 456 #-# -1
1564 #-# 1453 #-# -1
1564 #-# 857 #-# -1
1564 #-# 1808 #-# -1
1564 #-# 1809 #-# -1
1564 #-# 456 #-# -1
1453 #-# 1566 #-# -1
1453 #-# 1808 #-# -1
1453 #-# 456 #-# -1
857 #-# 1566 #-# -1
857 #-# 1808 #-# -1
1566 #-# 1808 #-# -1
1566 #-# 1809 #-# -1
1566 #-# 456 #-# -1
1808 #-# 1809 #-# -1
1647 #-# 1805 #-# -1
1647 #-# 1812 #-# -1
1647 #-# 1646 #-# -1
1647 #-# 458 #-# -1
1647 #-# 1810 #-# -1
1647 #-# 1983 #-# -1
1805 #-# 1645 #-# -1
1812 #-# 1645 #-# -1
1646 #-# 1645 #-# -1
1645 #-# 458 #-# -1
1645 #-# 1810 #-# -1
1645 #-# 1983 #-# -1
1982 #-# 1807 #-# -1
1982 #-# 1994 #-# -1
1647 #-# 1644 #-# -1
1647 #-# 1807 #-# -1
276 #-# 1993 #-# -1
276 #-# 1644 #-# -1
1993 #-# 1811 #-# -1
1986 #-# 1811 #-# -1
1986 #-# 1644 #-# -1
1986 #-# 1807 #-# -1
1811 #-# 1645 #-# -1
1811 #-# 1644 #-# -1
1645 #-# 1644 #-# -1
1645 #-# 1996 #-# -1
1645 #-# 1807 #-# -1
1644 #-# 1807 #-# -1
1996 #-# 1807 #-# -1
1811 #-# 1994 #-# -1
458 #-# 1807 #-# -1
458 #-# 1994 #-# -1
646 #-# 1981 #-# -1
646 #-# 1246 #-# -1
646 #-# 1249 #-# -1
858 #-# 1248 #-# -1
858 #-# 1249 #-# -1
1981 #-# 1024 #-# -1
1024 #-# 1638 #-# -1
1024 #-# 1249 #-# -1
1638 #-# 1246 #-# -1
1638 #-# 1248 #-# -1
1638 #-# 1249 #-# -1
11 #-# 645 #-# -1
11 #-# 277 #-# -1
11 #-# 857 #-# -1
11 #-# 1565 #-# -1
11 #-# 279 #-# -1
11 #-# 280 #-# -1
11 #-# 1640 #-# -1
645 #-# 6 #-# -1
277 #-# 6 #-# -1
857 #-# 6 #-# -1
6 #-# 1565 #-# -1
6 #-# 279 #-# -1
6 #-# 280 #-# -1
6 #-# 1640 #-# -1
182 #-# 4 #-# -1
1647 #-# 1982 #-# -1
276 #-# 1982 #-# -1
1805 #-# 1987 #-# -1
1812 #-# 1987 #-# -1
1646 #-# 1987 #-# -1
1987 #-# 458 #-# -1
1987 #-# 1810 #-# -1
1987 #-# 1983 #-# -1
463 #-# 641 #-# -1
465 #-# 281 #-# -1
641 #-# 1561 #-# -1
641 #-# 1454 #-# -1
641 #-# 283 #-# -1
859 #-# 1561 #-# -1
859 #-# 279 #-# -1
181 #-# 1565 #-# -1
181 #-# 281 #-# -1
1565 #-# 7 #-# -1
1565 #-# 182 #-# -1
1565 #-# 9 #-# -1
1565 #-# 13 #-# -1
1565 #-# 2 #-# -1
182 #-# 281 #-# -1
281 #-# 9 #-# -1
281 #-# 2 #-# -1
276 #-# 1994 #-# -1
1982 #-# 1987 #-# -1
858 #-# 1027 #-# -1
861 #-# 1027 #-# -1
1024 #-# 1027 #-# -1
1027 #-# 1028 #-# -1
1027 #-# 1248 #-# -1
464 #-# 283 #-# -1
464 #-# 456 #-# -1
1813 #-# 1560 #-# -1
1813 #-# 279 #-# -1
1813 #-# 283 #-# -1
1560 #-# 642 #-# -1
1560 #-# 456 #-# -1
642 #-# 279 #-# -1
642 #-# 1454 #-# -1
642 #-# 283 #-# -1
279 #-# 456 #-# -1
1454 #-# 280 #-# -1
1454 #-# 456 #-# -1
280 #-# 283 #-# -1
1247 #-# 283 #-# -1
461 #-# 458 #-# -1
1996 #-# 1994 #-# -1
1813 #-# 1565 #-# -1
642 #-# 1565 #-# -1
643 #-# 645 #-# -1
643 #-# 1565 #-# -1
1565 #-# 282 #-# -1
1565 #-# 1809 #-# -1
1565 #-# 1247 #-# -1
1565 #-# 456 #-# -1
281 #-# 456 #-# -1
1805 #-# 462 #-# -1
1812 #-# 462 #-# -1
1646 #-# 462 #-# -1
462 #-# 458 #-# -1
462 #-# 1810 #-# -1
462 #-# 1983 #-# -1
462 #-# 1457 #-# -1
461 #-# 1996 #-# -1
461 #-# 462 #-# -1
464 #-# 1561 #-# -1
465 #-# 277 #-# -1
1560 #-# 1809 #-# -1
645 #-# 283 #-# -1
277 #-# 1561 #-# -1
277 #-# 283 #-# -1
856 #-# 281 #-# -1
856 #-# 283 #-# -1
278 #-# 1561 #-# -1
278 #-# 279 #-# -1
278 #-# 1454 #-# -1
278 #-# 1809 #-# -1
278 #-# 283 #-# -1
1561 #-# 1809 #-# -1
279 #-# 1809 #-# -1
1454 #-# 1809 #-# -1
463 #-# 1566 #-# -1
463 #-# 860 #-# -1
463 #-# 1808 #-# -1
463 #-# 1639 #-# -1
464 #-# 1566 #-# -1
464 #-# 860 #-# -1
464 #-# 1808 #-# -1
464 #-# 1639 #-# -1
1813 #-# 860 #-# -1
1813 #-# 1639 #-# -1
642 #-# 1566 #-# -1
642 #-# 860 #-# -1
642 #-# 1639 #-# -1
643 #-# 1639 #-# -1
277 #-# 1566 #-# -1
277 #-# 860 #-# -1
277 #-# 1808 #-# -1
277 #-# 1639 #-# -1
277 #-# 456 #-# -1
857 #-# 860 #-# -1
857 #-# 1639 #-# -1
1566 #-# 860 #-# -1
1566 #-# 1639 #-# -1
860 #-# 1808 #-# -1
860 #-# 1809 #-# -1
860 #-# 456 #-# -1
1639 #-# 1809 #-# -1
1639 #-# 456 #-# -1
463 #-# 1640 #-# -1
1813 #-# 465 #-# -1
465 #-# 642 #-# -1
465 #-# 857 #-# -1
1560 #-# 643 #-# -1
642 #-# 1561 #-# -1
643 #-# 1561 #-# -1
643 #-# 279 #-# -1
643 #-# 1454 #-# -1
1647 #-# 459 #-# -1
1647 #-# 1458 #-# -1
1647 #-# 1992 #-# -1
1647 #-# 1457 #-# -1
1805 #-# 1458 #-# -1
1805 #-# 1992 #-# -1
1805 #-# 1644 #-# -1
1458 #-# 1812 #-# -1
1458 #-# 1646 #-# -1
1458 #-# 1811 #-# -1
1458 #-# 1810 #-# -1
1458 #-# 1983 #-# -1
1458 #-# 1457 #-# -1
1812 #-# 1992 #-# -1
1812 #-# 1644 #-# -1
1992 #-# 1646 #-# -1
1992 #-# 1811 #-# -1
1992 #-# 1644 #-# -1
1992 #-# 458 #-# -1
1992 #-# 1810 #-# -1
1992 #-# 1996 #-# -1
1992 #-# 1983 #-# -1
1992 #-# 1457 #-# -1
1646 #-# 1644 #-# -1
1987 #-# 1644 #-# -1
1987 #-# 1457 #-# -1
1644 #-# 1810 #-# -1
1644 #-# 1983 #-# -1
1644 #-# 1457 #-# -1
463 #-# 1452 #-# -1
1813 #-# 1452 #-# -1
465 #-# 456 #-# -1
1452 #-# 1561 #-# -1
1452 #-# 1454 #-# -1
1452 #-# 1809 #-# -1
1452 #-# 456 #-# -1
1561 #-# 456 #-# -1
1813 #-# 278 #-# -1
465 #-# 280 #-# -1
465 #-# 282 #-# -1
1560 #-# 648 #-# -1
1560 #-# 282 #-# -1
642 #-# 856 #-# -1
642 #-# 278 #-# -1
277 #-# 648 #-# -1
648 #-# 857 #-# -1
648 #-# 279 #-# -1
856 #-# 857 #-# -1
856 #-# 282 #-# -1
278 #-# 1640 #-# -1
278 #-# 282 #-# -1
1989 #-# 276 #-# -1
1989 #-# 1805 #-# -1
1989 #-# 1812 #-# -1
1989 #-# 1646 #-# -1
1989 #-# 1811 #-# -1
1989 #-# 1644 #-# -1
1989 #-# 458 #-# -1
1989 #-# 1810 #-# -1
1989 #-# 1983 #-# -1
1989 #-# 1457 #-# -1
1647 #-# 1994 #-# -1
1993 #-# 1805 #-# -1
1993 #-# 1812 #-# -1
1993 #-# 1646 #-# -1
1993 #-# 458 #-# -1
1993 #-# 1810 #-# -1
1993 #-# 1983 #-# -1
1993 #-# 1457 #-# -1
1986 #-# 1805 #-# -1
1986 #-# 1812 #-# -1
1986 #-# 1646 #-# -1
1986 #-# 458 #-# -1
1986 #-# 1810 #-# -1
1986 #-# 1983 #-# -1
1986 #-# 1994 #-# -1
1986 #-# 1457 #-# -1
1805 #-# 1803 #-# -1
1803 #-# 1812 #-# -1
1803 #-# 1646 #-# -1
1803 #-# 1644 #-# -1
1803 #-# 458 #-# -1
1803 #-# 1810 #-# -1
1803 #-# 1983 #-# -1
1645 #-# 1994 #-# -1
1645 #-# 1457 #-# -1
1644 #-# 1994 #-# -1
1647 #-# 1804 #-# -1
1647 #-# 1984 #-# -1
1647 #-# 461 #-# -1
276 #-# 1804 #-# -1
276 #-# 1984 #-# -1
1804 #-# 1805 #-# -1
1804 #-# 1812 #-# -1
1804 #-# 1646 #-# -1
1804 #-# 1987 #-# -1
1804 #-# 1811 #-# -1
1804 #-# 1810 #-# -1
1804 #-# 1983 #-# -1
1984 #-# 1805 #-# -1
1984 #-# 1812 #-# -1
1984 #-# 1646 #-# -1
1984 #-# 1811 #-# -1
1984 #-# 1810 #-# -1
1984 #-# 1983 #-# -1
1984 #-# 1457 #-# -1
1803 #-# 1982 #-# -1
1803 #-# 461 #-# -1
1982 #-# 461 #-# -1
1982 #-# 1811 #-# -1
1987 #-# 1807 #-# -1
1987 #-# 1994 #-# -1
1647 #-# 1643 #-# -1
1804 #-# 1992 #-# -1
1804 #-# 1996 #-# -1
1643 #-# 1805 #-# -1
1643 #-# 1812 #-# -1
1643 #-# 1646 #-# -1
1643 #-# 1811 #-# -1
1643 #-# 458 #-# -1
1643 #-# 1810 #-# -1
1643 #-# 1996 #-# -1
1643 #-# 1983 #-# -1
1643 #-# 1457 #-# -1
1984 #-# 1996 #-# -1
459 #-# 1982 #-# -1
1805 #-# 1995 #-# -1
1458 #-# 1982 #-# -1
1812 #-# 1995 #-# -1
1992 #-# 1982 #-# -1
1992 #-# 1995 #-# -1
1982 #-# 1644 #-# -1
1982 #-# 1996 #-# -1
1646 #-# 1995 #-# -1
1811 #-# 1995 #-# -1
1995 #-# 1810 #-# -1
1995 #-# 1996 #-# -1
1995 #-# 1983 #-# -1
1995 #-# 1457 #-# -1
